instruction,input,output
You will be given an utterance comparing overstuffed chair to another chair. Your task is to rewrite the given utterance as a description specifically about the overstuffed chair.,Can you rewrite please the following utterance comparing overstuffed chair to another chair as a description specifically about the overstuffed chair? Utterance: The target has no arm rests..,an overstuffed chair without arm rests
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: The target does not have distinct legs..,a club chair without distinct legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It is an office chair.,an office chair
You will be given an utterance comparing swivel chair to another chair. Your task is to rewrite the given utterance as a description specifically about the swivel chair.,Can you rewrite please the following utterance comparing swivel chair to another chair as a description specifically about the swivel chair? Utterance: It is more sunken to conform to the shape of the body.,a club chair with smooth armrests and cushions
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: it does not have arms.,a straight chair without arms
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: Target chair is much smaller..,a small chair
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The target does not have arms.,a chair with a thin base
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,"Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It looks uncomfortable, stiff.",a straight chair without arms
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target has a thinner block for the seat..,a chair with a thin block for the seat
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It is shorter in size.,a straight chair that is short in size
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: front two legs fused into one.,a chair that its front two legs fused into one
You will be given an utterance comparing couch to another chair. Your task is to rewrite the given utterance as a description specifically about the couch.,Can you rewrite please the following utterance comparing couch to another chair as a description specifically about the couch? Utterance: Has multiple seats as opposed to just one.,a couch with multiple seats
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The target has thinner legs..,a straight chair with thin legs
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The office chair.,an office chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It is not modern.,a chair that is not modern
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target is much more ornate.,a straight chair that its back has one opening in the middle
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has smaller height.,a chair that is very ornate
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The target chair is a swivel chair..,a swivel chair
You will be given an utterance comparing easy chair to another chair. Your task is to rewrite the given utterance as a description specifically about the easy chair.,Can you rewrite please the following utterance comparing easy chair to another chair as a description specifically about the easy chair? Utterance: Is obviously squared in depth height and width..,an easy chair that is obviously squared in depth height and width
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: Target chair back is smooth ..,a side chair with a smooth back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: the shape is very much like an armchair.,a chair that its shape is very much like an armchair
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The target does not have visible legs.,an armchair without visible legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has a rectangular hole between the back and the seat.,a chair with a rectangular hole between the back and the seat
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target's back is straight..,a chair with a straight back
You will be given an utterance comparing recliner to another chair. Your task is to rewrite the given utterance as a description specifically about the recliner.,Can you rewrite please the following utterance comparing recliner to another chair as a description specifically about the recliner? Utterance: the legs are much shorter.,a recliner with short legs
You will be given an utterance comparing overstuffed chair to another chair. Your task is to rewrite the given utterance as a description specifically about the overstuffed chair.,Can you rewrite please the following utterance comparing overstuffed chair to another chair as a description specifically about the overstuffed chair? Utterance: The top center of its back has a cut out slot that acts as a carrying handle.,a chair with 4 legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: No cushion.,an overstuffed chair that the top center of its back has a cut out slot that acts as a carrying handle
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: the legs are thinner.,a chair without a cushion
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: Target chair has five rounded slats in the back..,an armchair with five rounded slats in the back
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The chair has a circular base with no legs..,an armchair with circular base with no legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The back post is smaller.,a side chair with a small back post
You will be given an utterance comparing swivel chair to another chair. Your task is to rewrite the given utterance as a description specifically about the swivel chair.,Can you rewrite please the following utterance comparing swivel chair to another chair as a description specifically about the swivel chair? Utterance: It has a pentagonal shaped back rest.,a chair without arm rests
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It has a thick cushion.,a swivel chair with a pentagonal shaped back rest
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target has a circular seat.,a side chair with a circular seat
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has fpur vertical slats on the back.,a chair with four vertical slats on the back
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target has a shorter backrest..,a chair with a short back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target has more spindles.,a chair with many spindles
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: Target chair is mesh..,a mesh chair
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: there are only two legs.,a lounge chair with short legs
You will be given an utterance comparing couch to another chair. Your task is to rewrite the given utterance as a description specifically about the couch.,Can you rewrite please the following utterance comparing couch to another chair as a description specifically about the couch? Utterance: The target has a pillow laying against the back..,a couch with a pillow laying against the back
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: It has two arms on either side.,an armchair with two arms on either side
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The target is taller..,a  tall straight chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The seat is not hollow.,a chair that its seat is not hollow
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: Target chair back is thinner..,an armchair with thin back
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The back is a Y shape.,a side chair that its back is a Y shape
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: the back has much more height.,a chair with high back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,"Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has fluffier, more comfortable arm rests.",a recliner with arms
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It has spindles..,a straight chair with spindles
You will be given an utterance comparing Windsor chair to another chair. Your task is to rewrite the given utterance as a description specifically about the Windsor chair.,Can you rewrite please the following utterance comparing Windsor chair to another chair as a description specifically about the Windsor chair? Utterance: The target has spindles..,a windsor chair with spindles
You will be given an utterance comparing rocker to another chair. Your task is to rewrite the given utterance as a description specifically about the rocker.,Can you rewrite please the following utterance comparing rocker to another chair as a description specifically about the rocker? Utterance: it is a rocking chair.,a rocking chair
You will be given an utterance comparing lounge chair to another chair. Your task is to rewrite the given utterance as a description specifically about the lounge chair.,Can you rewrite please the following utterance comparing lounge chair to another chair as a description specifically about the lounge chair? Utterance: The target legs are thicker..,a lounge chair with thick legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: there is a small hole at the top of the back.,a chair with a small hole at the top of the back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target chair has writing arm..,a chair with a writing arm
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The target is on four legs..,an armchair with  four legs
You will be given an utterance comparing cantilever chair to another chair. Your task is to rewrite the given utterance as a description specifically about the cantilever chair.,Can you rewrite please the following utterance comparing cantilever chair to another chair as a description specifically about the cantilever chair? Utterance: The back is tall and rectangular.,a cantilever chair with a tall and rectangular back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: the chair has a thinner back.,a straight chair with long legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: 2 of the legs look like very thin rods while the others do not.,a side chair that 2 of its legs look like very thin rods while the others do not
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: it doesn't have arms.,a straight chair without arms
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The back consists of three vertical wooden slabs.,a side chair that its back consists of three vertical wooden slabs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The chair has five slats along the length of it.,a chair with five slats along the length of it
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target has legs.,a chair with legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: target has a more ornate crest.,a chair with an ornate crest
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: there are no spindles on the back.,a chair without spindles on the back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target has taller legs..,a chair with tall legs
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The cushion of the chair is longer.,an armchair with a long cushion
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: straight legs.,a chair with straight legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has a broad back..,a chair with a broad back
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: it has thinner legs.,a side chair with thin legs
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: the legs are closer together.,a straight chair that its legs are closer together
You will be given an utterance comparing sofa to another chair. Your task is to rewrite the given utterance as a description specifically about the sofa.,Can you rewrite please the following utterance comparing sofa to another chair as a description specifically about the sofa? Utterance: There is double seats..,a sofa with double seats
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: Target chair is slightly thinner..,a thin side chair
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target chair has taller legs..,an easy chair with a wide seat
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The backrest is smaller and not curved..,a chair that its backrest is small and not curved
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target has longer legs..,a chair with long legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has arms.,a chair with arms
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It does NOT have arms.,a chair with three legs
You will be given an utterance comparing overstuffed chair to another chair. Your task is to rewrite the given utterance as a description specifically about the overstuffed chair.,Can you rewrite please the following utterance comparing overstuffed chair to another chair as a description specifically about the overstuffed chair? Utterance: It has taller armrests.,an overstuffed chair with tall armrests
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has a larger back support.,a chair with large back support
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: the targets backrest is shaped like an oval.,a side chair that its backrest is shaped like an oval
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has four legs.,a chair with four legs
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It has thicker legs.,a straight chair with thick legs
You will be given an utterance comparing easy chair to another chair. Your task is to rewrite the given utterance as a description specifically about the easy chair.,Can you rewrite please the following utterance comparing easy chair to another chair as a description specifically about the easy chair? Utterance: target has thick cushioning.,an easy chair with thick cushioning
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: target's crest is thicker and curved.,a chair that its crest is thick and curve
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,"Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: The target has an H-stretcher,.",a straight chair with a H-stretcher
You will be given an utterance comparing swivel chair to another chair. Your task is to rewrite the given utterance as a description specifically about the swivel chair.,Can you rewrite please the following utterance comparing swivel chair to another chair as a description specifically about the swivel chair? Utterance: The target is on a circular base..,a swivel chair with a circular base
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: Its seat base has a more triangular shaped..,a chair with a triangular shaped seat base
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target chair has a very tall seat..,a side chair with a very tall seat
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The backrest is made of one piece.,a side chair that its backrest is made of one piece
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: It does not have a buttoned backrest.,an armchair without buttoned backrest
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target has a seat that is not as thick.,a side chair that its seat is not thick
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: it has arms.,an armchair with arms
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: It has arms.,a club chair with arms
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It is not a lounging chair..,a straight chair that is not a lounging chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: it has taller and thinner legs.,a chair with tall and thin legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target has a thinner seat cushion..,a side chair with a thin seat cushion
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: It has a separate backrest.,a side chair with a separate backrest
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: Its back is made of horizontal slats..,a straight chair that its back is made of horizontal slats
